Qty,Value,Device,Package,Parts,Description
1,,ANTENNA-SMA-IPX,SMA-TO-IPX,ANT2,DO NOT PLACE
1,,BOTTON-2P-90D,2P-7.62X3.56-90D,RST,
1,,HEADER-2P-65/35MIL,2P-2.54-65/35MIL,J5,DO NOT PLACE
1,,HEADER-2X3P-65/35MIL,2X3P-2.54-65/35MIL,J9,DO NOT PLACE
2,,HEADER-6P-60/35MIL,6P-2.54-60/35MIL,"J10, J11",DO NOT PLACE
5,,HEADER-8P-65/35MIL,8P-2.54-65/35MIL,"J2, J3, J4, J13, J14",DO NOT PLACE
3,1.8k,R-0603,R0603,"R8, R10, R11",
2,100nF,C-0603,C0603,"C5, C6",
1,100nH,L'0603',L0603,L1,
1,10R,R-0603,R0603,R1,
4,10k,R-0603,R0603,"R2, R3, R4, R5",
1,10pF,C-0603,C0603,C1,
1,10u,C-0805,C0805,C3,
1,1k,R-0603,R0603,R6,
1,22u-10v,CAP-AVX-B,AVX-B,C4,
3,3.3k,R-0603,R0603,"R14, R16, R17",
1,ANTENNA-U-FL-3P,ANTENNA-U-FL-3P,3P-U-FL,ANT1,
2,BSN20,MOSFET-N'SOT23',SOT23,"Q1, Q2",http://www.mouser.mx/ProductDetail/Diodes-Incorporated/BSN20-7/?qs=sGAEpiMZZMshyDBzk1%2fWi1RgPhdS2EhaH2CER2%2fmLyM%3d
1,LD1117 SOT9 3v3,LD1117'SOT89',SOT89,U4,http://www.mouser.mx/ProductDetail/STMicroelectronics/LD1117S33TR/?qs=sGAEpiMZZMsTMOEwbSiO3xk7OC0Y3mgh
1,Micro-SD,HOLDER-MICROSD-9P,9P-SMD-W/-RING,J1,
1,NEO-6,NEO-6,NEO-6,U2,
1,green,LED'0603',LED-0603,PWR,
1,Antenna GPS,,,,"http://es.aliexpress.com/store/product/2pcs-lot-ceramic-Passive-GPS-receiving-antenna-free-shipping/235279_1883428249.html?spm=2114.04010208.3.196.BXpUky&ws_ab_test=searchweb201556_6,searchweb201644_4_10001_10002_10005_301_10006_10003_10004_62,searchweb201560_8,searchweb1451318400_6148,searchweb1451318411_6452&btsid=1f1c4cde-2e4c-4b97-bc4a-0ad7606e4ae9"
